query,vertices,edges,positive_matches,cpu_16core_ms,gpu_v100_ms,speedup,counts_equal,source
A001_10v_11e.graph,10,11,20326085409,269455.0,4049.23,66.544750,True,bootstrap
A002_10v_11e.graph,10,11,29109608999,388241.0,5607.06,69.241456,True,bootstrap
A003_10v_11e.graph,10,11,24108380768,365705.0,5614.88,65.131401,True,bootstrap
A004_10v_12e.graph,10,12,7989861858,116898.0,1702.16,68.676270,True,bootstrap
A005_10v_11e.graph,10,11,13555433046,238546.0,3921.62,60.828433,True,bootstrap
A006_8v_10e.graph,8,10,1398235023,35691.3,786.469,45.381699723701765,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0001/screening_results.csv
A007_9v_9e.graph,9,9,5845335096,213724.0,3342.25,63.94614406462712,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0002/screening_results.csv
A008_9v_10e.graph,9,10,236364947,17720.3,880.256,20.13084829867675,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0002/screening_results.csv
A009_10v_12e.graph,10,12,2654919485,44151.0,1229.44,35.91147188964081,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0003/screening_results.csv
A010_8v_9e.graph,8,9,1129566130,20035.8,852.808,23.493916567386798,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0006/screening_results.csv
A011_9v_9e.graph,9,9,6374675547,143700.0,1961.76,73.25055052605823,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0007/screening_results.csv
A012_9v_9e.graph,9,9,1919067976,76382.8,1142.0,66.88511383537653,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0007/screening_results.csv
A013_9v_9e.graph,9,9,4422462494,123618.0,2536.84,48.72912757603948,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0007/screening_results.csv
A014_10v_11e.graph,10,11,6193222719,129202.0,1648.65,78.3683619931459,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0008/screening_results.csv
A015_10v_11e.graph,10,11,27742370126,341438.0,6038.88,56.539954428635774,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0008/screening_results.csv
A016_11v_12e.graph,11,12,4984846406,154474.0,7635.18,20.23187403571363,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0009/screening_results.csv
A017_8v_10e.graph,8,10,56838694,42089.6,837.064,50.28241568147716,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0011/screening_results.csv
A018_8v_10e.graph,8,10,1203340877,25252.2,784.518,32.1881715907092,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0011/screening_results.csv
A019_8v_10e.graph,8,10,1408756838,22284.2,802.012,27.785369794965664,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0011/screening_results.csv
A020_9v_10e.graph,9,10,5716427650,79279.7,1327.63,59.71520679707448,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0012/screening_results.csv
A021_9v_10e.graph,9,10,798328555,19969.2,773.2,25.826694257630624,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0012/screening_results.csv
A022_10v_12e.graph,10,12,2027645190,40796.4,937.116,43.53399152292779,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0013/screening_results.csv
A023_10v_11e.graph,10,11,13683457114,212391.0,4960.29,42.81826264190199,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0013/screening_results.csv
A024_9v_10e.graph,9,10,862728151,22650.6,790.465,28.654779148981927,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0014/screening_results.csv
A025_9v_11e.graph,9,11,397635118,16299.8,696.779,23.393070112618204,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0014/screening_results.csv
A026_9v_11e.graph,9,11,669816382,16192.7,755.353,21.43726178356345,True,/home/haibin/tpds/ParaCOSM/ParaCOSM/CSM/generated_gpu_speedup_queries/amazon_auto_50/rounds/round_0014/screening_results.csv
